article_id,title,abstract,authors,publication_title,publication_year,publication_date,doi,document_type,publisher,volume,issue,page_start,page_end,keywords,pdf_url,access_type,is_open_access,peer_reviewed,citation_count,source_databases,original_indices
,"The Impact of AI-Powered Ad Customization: Exploring the Impact of Engagement, Psychological Ownership, Responsibility, and Attitude on Behavioral Intentions.","AbstractIn today’s ad-saturated environment, consumers are increasingly overwhelmed by irrelevant advertisements and often seek ways to avoid them. In response, companies have focused on delivering ads that better match individual preferences, primarily through firm-initiated personalization. Although ads customized by consumers themselves may be more effective, their use has been limited by practical and technological constraints. Advances in artificial intelligence and digital platforms, however, have begun to make such user-driven customization more feasible. Yet, because these capabilities are still emerging, both industry applications and academic research in this area remain limited, highlighting the need for empirical research on how and why customization enhances consumer responses. This research explores how consumer-initiated ad customization influences advertising effectiveness, focusing on behavioral intention and its psychological mechanisms. Across four studies, we find that customization enhances behavioral intention via a serial path through psychological ownership, responsibility, and attitude, moderated by engagement. These findings highlight the psychological processes in shaping responses to customized ads and offer insights into how consumers interact with such ads, especially in rapidly changing digital environments.","Yang, John; Maeng, Ahreum; Jung, Sang-Uk",Journal of Advertising,,20251002,10.1080/00913367.2025.2566851,,Taylor &amp; Francis Ltd,,,1.0,24.0,<mark>Artificial intelligence</mark>; Psychological ownership; Targeted advertising; Consumer behavior; Participation; Attitude (Psychology); Responsibility,/linkprocessor/v2-pdf?sourceRecordId=kivbq4lt2j&recordId=kivbq4lt2j&profileIdentifier=q46rpe&intent=view&type=pdfLink&lang=es,,,True,,ebsco,15@ebsco
9425971.0,Research on Artificial Intelligence Algorithm and Its Application in Games,"With the in-depth development of intelligent technology, game [::artificial::] [::intelligence::] (AI) has become the technical core of improving the playability of a game and the main selling point of game promotion, deepening the game experience realm. Modern computer games achieve the realism of games by integrating graphics, physics and [::artificial::] [::intelligence::]. It is difficult to d...",Cundong Tang; Zhiping Wang; Xiuxiu Sima; Lingxiao Zhang,2020 2nd International Conference on [::Artificial::] [::Intelligence::] and Advanced Manufacture (AIAM),2020.0,15-17 Oct. 2020,10.1109/AIAM50918.2020.00085,IEEE Conferences,IEEE,,,386.0,389.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,16@ieee
9719110.0,Analysis on the application of artificial intelligence in marketing,"With the continuous development of modern information technology, various new development technologies are gradually emerging. As an important development content of the discipline of computer science, [::artificial::] [::intelligence::] can simulate human activities through intelligent systems or intelligent machines, so as to extend people’s [::intelligence::]. [::Artificial::] [::intelligence::...",Rui Sun,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),2021.0,17-19 Sept. 2021,10.1109/CISAI54367.2021.00135,IEEE Conferences,IEEE,,,669.0,672.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,9@ieee
9797546.0,Application and existing problems of computer network technology in the field of artificial intelligence,"With the development of science and technology, computer technology is more and more widely used in people&#39;s life. As a branch of computer technology, [::artificial::] [::intelligence::] technology is also gradually developing and expanding, affecting people&#39;s life. Nowadays, the processing ability shown by simple computer technology has gradually lagged behind the times. If you want more convenie...",Genjin Chen; Qi Yuan,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),2021.0,5-7 Nov. 2021,10.1109/ICAICE54393.2021.00035,IEEE Conferences,IEEE,,,139.0,142.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,4@ieee
9534539.0,"Applications, Risks and Countermeasures of Artificial Intelligence in Education","The application of [::artificial::] [::intelligence::] in education has greatly affected school management, teachers&#39; teaching and students&#39; learning, and has an important influence on the mechanism and mechanism of learning process. The concept of [::artificial::] [::intelligence::] is to simulate human [::intelligence::] by machine, thus completing specific roles and tasks, and has the character...",Zhang Qian,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2021.0,18-20 June 2021,10.1109/ICAIE53562.2021.00026,IEEE Conferences,IEEE,,,89.0,92.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,11@ieee
9718926.0,Construction of Enterprise Business Management Analysis Framework in the Development of Artificial Intelligence,"In this era of rapid development, [::artificial::] [::intelligence::] has gradually entered our life, as a will be applied to the global technology, [::artificial::] [::intelligence::] in many fields have broad application prospects, [::artificial::] [::intelligence::] as the product of social development and technological innovation, has become a new round of scientific and technological innovati...",Meijing Song; Xinjian Chen,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),2021.0,17-19 Sept. 2021,10.1109/CISAI54367.2021.00139,IEEE Conferences,IEEE,,,689.0,692.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,3@ieee
9781007.0,How do we move towards true artificial intelligence,"At present, the development of [::artificial::] [::intelligence::] technology has entered a new bottleneck period, and the algorithm dividend based on statistics has been exhausted. In the future, we should pay more attention to improving the efficient, intelligent collaboration among humans, machines, and the environment. This review first discusses the bottleneck problems encountered in the curr...",Wei Liu; Guangda Zhuang; Xin Liu; Shaobo Hu; Ruilin He; Yuhu Wang,"2021 IEEE 23rd Int Conf on High Performance Computing & Communications; 7th Int Conf on Data Science & Systems; 19th Int Conf on Smart City; 7th Int Conf on Dependability in Sensor, Cloud & Big Data Systems & Application (HPCC/DSS/SmartCity/DependSys)",2021.0,20-22 Dec. 2021,10.1109/HPCC-DSS-SmartCity-DependSys53884.2021.00321,IEEE Conferences,IEEE,,,2156.0,2158.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,0@ieee
9793310.0,A Review on Artificial Intelligence with Deep Human Reasoning,[::Artificial::] [::Intelligence::] (AI) is a broad term that can be construed to mean a focusing computer programming and development that is designed to train machines and to perform task. [::Artificial::] [::intelligence::] can be used to test theories of reasoning like cognitive reasoning and consciousness. Research has been conducted on the development of machines with human behavior and cogn...,Janmanchi Harika; Palavadi Baleeshwar; Kummari Navya; Hariharan Shanmugasundaram,2022 International Conference on Applied [::Artificial::] [::Intelligence::] and Computing (ICAAIC),2022.0,9-11 May 2022,10.1109/ICAAIC53929.2022.9793310,IEEE Conferences,IEEE,,,81.0,84.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,6@ieee
9750746.0,The Risks and Countermeasures of Accounting Artificial Intelligence,"Under the background of the information age, the development of science and technology has had an unprecedented situation, which makes people&#39;s lives have undergone tremendous changes, especially the development of [::artificial::] [::intelligence::], which has increasingly penetrated into the field of accounting, which has attracted the attention of staff in various industries. The development of...",Chunling Zhu; Yutong Guan,2022 3rd International Conference on Electronic Communication and [::Artificial::] [::Intelligence::] (IWECAI),2022.0,14-16 Jan. 2022,10.1109/IWECAI55315.2022.00076,IEEE Conferences,IEEE,,,358.0,361.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,7@ieee
10285175.0,Application of artificial intelligence in computer network technology,"With the development of science and technology, [::artificial::] [::intelligence::] has been widely used in many fields, smart TVs, intelligent sweeping robots, intelligent voice, etc. are quiet trigger great changes in human society. At the same time, people are also exploring the integration and development of computer network technology and [::artificial::] [::intelligence::], in order to use [...",Xiaohua Ma,2023 2nd International Conference on [::Artificial::] [::Intelligence::] and Autonomous Robot Systems (AIARS),2023.0,29-31 July 2023,10.1109/AIARS59518.2023.00043,IEEE Conferences,IEEE,,,182.0,186.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,10@ieee
10748289.0,Analysis of the Impact of Artificial Intelligence on Electricity Consumption,"The in-depth development and widespread application of [::artificial::] [::intelligence::] technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, [::artificial::] [::intelligence::] requires various data centers to provide huge computing and storage capab...",Yuelong Jia,"2024 3rd International Conference on [::Artificial::] [::Intelligence::], Internet of Things and Cloud Computing Technology (AIoTC)",2024.0,13-15 Sept. 2024,10.1109/AIoTC63215.2024.10748289,IEEE Conferences,IEEE,,,57.0,60.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,14@ieee
11022287.0,Exploration and Reflection of Legal Artificial Intelligence in Japan,"It has been more than 60 years since the concept of [::artificial::] [::intelligence::] was established in 1956. In recent years, with the innovation and development of technology, especially the emergence of ChatGPT, it is expected that generative [::artificial::] [::intelligence::] models will lead to new breakthroughs in various industries. This thesis focuses on Japan, which is adjacent to Chi...",Zhengzhen Qian,2024 8th Asian Conference on [::Artificial::] [::Intelligence::] Technology (ACAIT),2024.0,8-10 Nov. 2024,10.1109/ACAIT63902.2024.11022287,IEEE Conferences,IEEE,,,812.0,816.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,15@ieee
10730338.0,Patient Attitude on the Application of Artificial Intelligence in Diabetes Care,"The integration of [::artificial::] [::intelligence::] (AI) into diabetes care holds the potential to transform patient management and improve outcomes, especially in Malaysia, where diabetes represents a major public health challenge. However, the adoption and effectiveness of AI in healthcare are significantly impacted by patient attitudes. This paper addresses the gap in understanding these att...",Maslin Masrom; Logeswary Krisnan; Yazriwati Yahya; Manimaran Krishnan Kaundan,2024 5th International Conference on [::Artificial::] [::Intelligence::] and Data Sciences (AiDAS),2024.0,3-4 Sept. 2024,10.1109/AiDAS63860.2024.10730338,IEEE Conferences,IEEE,,,441.0,445.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,2@ieee
10729894.0,Research on the Application of Artificial Intelligence in Hotels,"At present, driven by new theories and technologies such as the Internet and big data, [::artificial::] [::intelligence::] is developing rapidly, and all walks of life are actively integrating with [::artificial::] [::intelligence::] technology to advance the development of the industry. This article takes the application of [::artificial::] [::intelligence::] in hotels as the research object, pre...",Xiao Niu; Lixia Zhang,2024 3rd International Conference on [::Artificial::] [::Intelligence::] and Computer Information Technology (AICIT),2024.0,20-22 Sept. 2024,10.1109/AICIT62434.2024.10729894,IEEE Conferences,IEEE,,,1.0,4.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,8@ieee
10842748.0,The Role of Artificial Intelligence (AI) in Transforming Biomedical Imaging: A Comprehensive Overview,"The integration of [::Artificial::] [::Intelligence::] (AI) in biomedical imaging heralds a transformative era in medical diagnostics and research. This comprehensive overview explores the multifaceted impact of AI on various imaging modalities, emphasizing its potential to revolutionize disease detection, characterization, and treatment planning. AI applications, particularly machine learning and...",Gunjan R. Chaudhari; Umesh B. Telrandhe,"2024 2nd DMIHER International Conference on [::Artificial::] [::Intelligence::] in Healthcare, Education and Industry (IDICAIEI)",2024.0,29-30 Nov. 2024,10.1109/IDICAIEI61867.2024.10842748,IEEE Conferences,IEEE,,,1.0,5.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,12@ieee
11167191.0,"Artificial Intelligence for Cybersecurity: Emerging Techniques, Challenges, and Future Trends","Cybersecurity is now a major issue, and it is getting the attention of researchers, academics, and businesses to really focus on safeguarding our information systems. With everything going digital so quickly, the threats online are constantly changing, putting both people and companies at serious risk. This review provides an in-depth analysis of the state-of-the-art in cybersecurity, addressing k...",Isha Yadav; Vaibhav Shekhawat; Kamlesh Gautam; Gaurav Kumar Soni; Rajeev Yadav,2025 3rd International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),2025.0,6-8 Aug. 2025,10.1109/ICSCDS65426.2025.11167191,IEEE Conferences,IEEE,,,1176.0,1180.0,,,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",False,,0.0,ieee,13@ieee
