Autor,Apariciones
"Niyato, D.",6
"Du, H.",4
"Vadisetty, Rahul",4
"Jong, Morris Siu-Yung",3
"Wang, J.",3
"Polamarasetti, Anand",3
"Rongali, Sateesh Kumar",3
"Prajapati, Sameer kumar",3
"Butani, Jinal Bhanubhai",3
"Wang, Shaofeng",2
"Puntoni, Stefano",2
"Huang, Anna Y. Q.",2
"Yang, Stephen J. H.",2
"Gimpel, Henner",2
"Raj, Aman",2
